date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:08	74812/74812	---M--	200	added ('OK')	image/jpeg	etag:%22599b0832-1243c%22	https://www.laneconstruct.com/uploads/application/images/1000/grand-national-drive-ribbon-cutting-800-x-400-002.jpg	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/grand-national-drive-ribbon-cutting-800-x-400-002.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=350337/i-4-ultimate-improvement-project-marks-first-milestone-with-orlando-grand-national-drive-opening)
01:30:08	61398/61398	---M--	200	added ('OK')	image/jpeg	etag:%22598c75ff-efd6%22	https://www.laneconstruct.com/uploads/application/images/1000/395-express-lanes-breaking-ground-630x420.jpg	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/395-express-lanes-breaking-ground-630x420.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=343607/395-express-lanes-project-breaks-ground)
01:30:10	68092/68092	---M--	200	added ('OK')	image/jpeg	etag:%22598869c6-109fc%22	https://www.laneconstruct.com/uploads/application/images/1000/dsc_0354-1080x675.jpg	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/dsc_0354-1080x675.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=340891/artba-s-law-regulatory-forum-explored-industry-issues)
01:30:11	279150/279150	---M--	200	added ('OK')	image/png	etag:%225a26e6e8-4426e%22	https://www.laneconstruct.com/uploads/application/images/1000/screen-shot-2017-08-02-at-8-03-34-am.png	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/screen-shot-2017-08-02-at-8-03-34-am.png	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=337659/need-a-job-gas-tax-hike-has-created-a-surge-of-openings)
01:30:13	84182/84182	---M--	200	added ('OK')	image/png	etag:%225a26e68d-148d6%22	https://www.laneconstruct.com/uploads/application/images/1000/screen-shot-2017-07-25-at-4-59-31-pm.png	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/screen-shot-2017-07-25-at-4-59-31-pm.png	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=334126/think-green-making-operating-decisions-that-are-good-for-the-environment-and-business)
01:30:15	105503/105503	---M--	200	added ('OK')	image/jpeg	etag:%2259724023-19c1f%22	https://www.laneconstruct.com/uploads/application/images/1000/1napa-ecological.jpg	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/1napa-ecological.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=329361/the-lane-construction-corp-wins-national-award-for-ecological-operations)
01:30:17	80827/80827	---M--	200	added ('OK')	image/jpeg	etag:%2259512835-13bbb%22	https://www.laneconstruct.com/uploads/application/images/1000/salini.jpg	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/salini.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=317978/salini-impregilo-lane-construction-break-ground-on-188m-u-s-tunnel-project)
01:30:21	757496/757496	---M--	200	added ('OK')	image/png	etag:%225a26e725-b8ef8%22	https://www.laneconstruct.com/uploads/application/images/1000/digging-in-at-dugway.png	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/digging-in-at-dugway.png	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=315424/digging-in-at-dugway)
01:30:21	233956/233956	---M--	200	added ('OK')	image/png	etag:%225a26e833-391e4%22	https://www.laneconstruct.com/uploads/application/images/1000/screen-shot-2017-05-09-at-8-45-30-am.png	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/screen-shot-2017-05-09-at-8-45-30-am.png	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=282466/contractor-for-tunnel-brings-experience)
01:30:22	89267/89267	---M--	200	added ('OK')	image/jpeg	etag:%2258d2cccd-15cb3%22	https://www.laneconstruct.com/uploads/application/images/1000/giuseppe-quarta.jpg	C:/My%20Web%20Sites/Indigen/uploads/application/images/1000/giuseppe-quarta.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=257070/giuseppe-quarta-a-top-newsmaker-for-2016)
